WS10M_lag1,PREC,RH,MIN_TEMP,MAX_TEMP,WD_sin,SURF_PRESSSURE,WD_cos,AVG_TEMP,WS10M_lag2,PREC_lag1,SL_PRESSURE,YEAR,MO,DY,WS10M
3.94,0.0,79.09,20.72,28.62,0.557745109,99.8,0.8300122851,27.0,4.02,0.0,1011.9,2013,1,19,4.21
4.21,1.35,84.25,21.56,28.49,0.4939418666,99.78,0.8694949295,26.9,3.94,0.0,1011.7,2013,1,20,3.83
3.83,0.14,84.0,23.16,29.13,0.557745109,99.82,0.8300122851,28.9,4.21,1.35,1011.8,2013,1,21,5.17
5.17,0.27,84.67,22.29,29.14,0.4771587603,99.83,0.8788171127,27.9,3.83,0.14,1011.7,2013,1,22,5.61
5.61,6.4,88.24,22.79,28.87,0.3420201433,99.8,0.9396926208,27.5,5.17,0.27,1012.1,2013,1,23,6.1
6.1,9.41,90.01,23.67,26.99,0.4241994227,99.77,0.905568799,27.6,5.61,6.4,1011.6,2013,1,24,5.14
5.14,3.82,86.13,23.46,28.04,0.496973961,99.81,0.8677654534,28.5,6.1,9.41,1011.5,2013,1,25,5.24
5.24,0.31,82.85,22.69,29.15,0.575005252,99.82,0.8181497174,27.9,5.14,3.82,1011.7,2013,1,26,5.37
5.37,0.04,80.67,22.49,29.23,0.7107994739,99.87,0.7033947028,28.6,5.24,0.31,1011.8,2013,1,27,4.86
4.86,0.0,80.5,22.24,28.42,0.725374371,99.83,0.6883545757,29.3,5.37,0.04,1011.5,2013,1,28,4.88
4.88,0.0,78.91,21.3,28.96,0.7156927337,99.79,0.6984152854,28.9,4.86,0.0,1011.1,2013,1,29,4.96
4.96,0.0,78.65,20.85,29.07,0.8191520443,99.8,0.5735764364,28.4,4.88,0.0,1011.5,2013,1,30,4.97
4.97,0.0,80.06,20.8,28.89,0.7181262978,99.8,0.6959127966,28.0,4.96,0.0,1011.3,2013,1,31,5.06
5.06,0.0,83.42,21.45,29.32,0.5313985795,99.76,0.8471219214,28.4,4.97,0.0,1011.1,2013,2,1,5.39
5.39,0.02,83.48,22.45,29.31,0.4909037536,99.72,0.8712138111,29.0,5.06,0.0,1010.6,2013,2,2,5.67
5.67,0.02,81.8,22.75,29.25,0.5284383347,99.72,0.8489716876,28.8,5.39,0.02,1010.8,2013,2,3,4.85
4.85,8.2,83.02,22.43,29.14,0.3239174182,99.79,0.9460853588,27.9,5.67,0.02,1012.2,2013,2,4,3.17
3.17,2.14,82.55,24.3,28.86,0.9986295348,99.85,0.05233595624,27.8,4.85,8.2,1012.5,2013,2,5,1.3
1.3,21.04,83.19,24.07,28.32,0.5,99.86,0.8660254038,28.0,3.17,2.14,1012.6,2013,2,6,2.61
2.61,7.95,81.62,23.23,29.2,0.3583679495,99.7,0.9335804265,26.9,1.3,21.04,1010.5,2013,2,7,3.0
3.0,6.06,78.24,23.76,29.46,0.9335804265,99.64,0.3583679495,27.1,2.61,7.95,1009.9,2013,2,8,1.48
1.48,12.84,80.63,22.99,29.5,0.5692795234,99.58,0.822144041,28.1,3.0,6.06,1009.3,2013,2,9,2.48
2.48,1.4,82.48,22.91,29.68,0.6387678175,99.53,0.769399555,28.4,1.48,12.84,1008.4,2013,2,10,4.58
4.58,6.62,85.65,23.02,28.43,0.6959127966,99.5,0.7181262978,28.4,2.48,1.4,1008.1,2013,2,11,4.94
4.94,11.68,87.4,22.87,26.91,0.6717205893,99.47,0.7408045963,26.6,4.58,6.62,1007.9,2013,2,12,5.34
5.34,33.19,85.16,23.7,28.21,0.9135454576,99.47,0.4067366431,27.7,4.94,11.68,1008.5,2013,2,13,4.22
4.22,12.17,79.74,23.0,28.57,0.8517269341,99.65,-0.523985906,26.4,5.34,33.19,1009.9,2013,2,14,3.47
3.47,0.54,80.59,22.93,28.82,0.8386705679,99.67,0.544639035,28.1,4.22,12.17,1010.0,2013,2,15,2.52
2.52,1.71,82.59,23.7,28.55,-0.984195608,99.54,-0.1770847403,27.4,3.47,0.54,1009.3,2013,2,16,1.9
1.9,1.6,80.49,24.47,29.43,-0.9931706495,99.51,-0.1166707371,27.4,2.52,1.71,1008.8,2013,2,17,1.6
1.6,6.37,83.02,24.29,28.48,-0.9998476952,99.51,0.01745240644,27.8,1.9,1.6,1009.2,2013,2,18,2.17
2.17,18.53,81.46,24.62,29.46,0.1097343111,99.59,0.9939609555,27.9,1.6,6.37,1009.9,2013,2,19,2.26
2.26,0.84,81.29,23.1,29.51,0.6626200482,99.63,0.7489557208,27.1,2.17,18.53,1009.8,2013,2,20,3.64
3.64,0.0,80.52,21.65,29.47,0.5620833779,99.69,0.8270805743,28.2,2.26,0.84,1010.8,2013,2,21,4.78
4.78,0.0,81.46,21.89,29.22,0.6306758074,99.78,0.7760464071,27.9,3.64,0.0,1010.8,2013,2,22,5.44
5.44,0.0,77.82,20.53,29.29,0.6832737737,99.88,0.7301622766,28.1,4.78,0.0,1012.2,2013,2,23,4.28
4.28,0.0,78.59,21.65,29.18,0.6225146366,99.81,0.7826081569,27.5,5.44,0.0,1011.6,2013,2,24,3.41
3.41,0.09,78.43,21.92,29.64,0.6665324702,99.82,0.7454759997,27.2,4.28,0.0,1011.7,2013,2,25,3.39
3.39,0.0,78.17,21.89,28.84,0.5504807401,99.84,0.8348478633,27.3,3.41,0.09,1011.8,2013,2,26,3.1
3.1,0.0,78.44,21.21,29.31,0.5372996083,99.76,0.8433914458,26.7,3.39,0.0,1010.7,2013,2,27,4.07
4.07,0.02,80.07,21.85,29.78,0.5792811723,99.64,0.8151277957,26.6,3.1,0.0,1009.4,2013,2,28,4.33
4.33,0.19,79.02,21.94,29.89,0.5135412521,99.61,0.8580649057,28.0,4.07,0.02,1009.4,2013,3,1,3.98
3.98,7.97,80.78,22.2,30.29,0.5807029557,99.66,0.8141155184,27.8,4.33,0.19,1010.1,2013,3,2,3.87
3.87,1.38,80.17,22.56,30.01,0.5990235985,99.65,0.8007313709,28.9,3.98,7.97,1009.8,2013,3,3,4.73
4.73,12.08,87.01,23.5,27.38,0.6115270402,99.65,0.791223533,27.4,3.87,1.38,1009.6,2013,3,4,4.19
4.19,5.63,81.06,23.36,30.39,0.9205048535,99.57,0.3907311285,28.2,4.73,12.08,1009.4,2013,3,5,2.67
2.67,5.08,80.87,24.09,31.22,0.9802711746,99.6,0.1976573404,28.8,4.19,5.63,1010.2,2013,3,6,2.25
2.25,4.31,83.61,24.9,29.44,0.6921431739,99.67,0.7217602281,28.6,2.67,5.08,1010.8,2013,3,7,2.87
2.87,7.56,85.94,24.76,29.64,0.4524347093,99.73,0.8917975296,28.4,2.25,4.31,1011.7,2013,3,8,2.68
2.68,5.53,81.51,24.52,29.68,0.54317445,99.75,0.8396198645,28.1,2.87,7.56,1011.3,2013,3,9,2.34
2.34,0.27,76.96,24.31,31.15,0.5707135677,99.59,0.8211492091,27.8,2.68,5.53,1009.6,2013,3,10,1.88
1.88,8.43,78.9,24.54,30.33,-0.9384930228,99.68,0.345298199,29.1,2.34,0.27,1010.5,2013,3,11,1.36
1.36,7.29,80.66,25.51,29.24,-0.8972583697,99.75,0.4415058528,28.9,1.88,8.43,1010.8,2013,3,12,1.58
1.58,2.16,76.51,24.34,30.06,-0.9766722783,99.76,0.2147353272,28.6,1.36,7.29,1010.7,2013,3,13,1.55
1.55,7.24,81.13,25.35,29.25,-0.9360595357,99.7,0.3518416484,28.9,1.58,2.16,1010.7,2013,3,14,2.4
2.4,13.3,85.45,24.57,29.14,-0.4954586684,99.72,-0.8686315144,28.5,1.55,7.24,1011.2,2013,3,15,2.22
2.22,11.05,82.9,24.73,29.06,0.7372773368,99.81,0.6755902076,27.9,2.4,13.3,1011.5,2013,3,16,2.03
2.03,2.23,76.04,24.48,30.66,0.6347305132,99.75,0.7727335735,28.8,2.22,11.05,1010.7,2013,3,17,1.92
1.92,5.49,77.05,25.11,30.48,0.09237058745,99.58,0.9957246982,28.4,2.03,2.23,1008.8,2013,3,18,2.0
2.0,3.51,79.2,24.92,29.84,-0.2520693582,99.59,-0.9677091705,28.6,1.92,5.49,1009.0,2013,3,19,1.33
1.33,0.8,78.96,24.89,30.92,0.5269557955,99.61,0.849892693,28.1,2.0,3.51,1009.2,2013,3,20,2.26
2.26,0.3,77.49,24.64,30.55,0.9681476404,99.55,0.2503800041,29.6,1.33,0.8,1008.6,2013,3,21,1.51
1.51,0.48,71.2,25.44,31.2,0.3551069624,99.44,0.9348256764,28.5,2.26,0.3,1007.5,2013,3,22,1.27
1.27,5.47,81.07,24.83,29.41,-0.7705132428,99.51,-0.6374239897,27.8,1.51,0.48,1008.7,2013,3,23,2.41
2.41,18.34,81.95,25.52,29.58,-0.1753667261,99.54,0.98450318,27.9,1.27,5.47,1009.4,2013,3,24,2.38
2.38,13.61,78.66,25.24,28.89,0.2940403252,99.55,0.9557930148,27.6,2.41,18.34,1008.8,2013,3,25,1.45
1.45,7.66,79.55,25.06,29.48,-0.8048937974,99.5,-0.5934188866,27.8,2.38,13.61,1008.7,2013,3,26,1.33
1.33,2.54,80.95,25.87,30.06,-0.8544588301,99.5,-0.5195191119,28.8,1.45,7.66,1008.7,2013,3,27,1.74
1.74,9.7,85.57,25.87,29.13,-0.8069603121,99.57,-0.5906056676,28.9,1.33,2.54,1009.1,2013,3,28,2.48
2.48,10.99,88.45,25.79,28.21,-0.9588197349,99.56,-0.2840153447,29.1,1.74,9.7,1009.1,2013,3,29,2.92
2.92,3.96,83.82,25.64,29.87,-0.8480480962,99.46,-0.5299192642,29.1,2.48,10.99,1008.2,2013,3,30,2.19
2.19,1.65,84.73,26.0,29.72,-0.906307787,99.48,-0.4226182617,29.4,2.92,3.96,1008.6,2013,3,31,2.42
2.42,2.37,85.27,25.67,29.44,-0.7944146205,99.55,-0.6073758397,28.1,2.19,1.65,1009.4,2013,4,1,2.91
2.91,2.09,80.75,25.83,29.94,-0.9979156183,99.58,-0.06453230825,29.3,2.42,2.37,1009.4,2013,4,2,2.09
2.09,2.56,78.16,25.5,30.58,-0.9970527522,99.58,-0.07671902813,29.5,2.91,2.09,1009.0,2013,4,3,1.69
1.69,4.32,84.03,25.82,29.4,-0.9832549076,99.55,-0.1822355255,29.2,2.09,2.56,1008.5,2013,4,4,3.56
3.56,5.42,85.51,25.58,28.6,-0.7431448255,99.49,-0.6691306064,29.4,1.69,4.32,1008.1,2013,4,5,3.72
3.72,2.43,81.68,25.61,29.91,-0.9170600744,99.4,-0.3987490689,29.8,3.56,5.42,1007.4,2013,4,6,3.8
3.8,2.61,80.53,25.64,30.27,-0.9003187714,99.33,-0.4352310994,29.6,3.72,2.43,1007.2,2013,4,7,2.85
2.85,2.44,80.14,25.79,30.7,-0.8338858221,99.4,-0.5519369853,30.2,3.8,2.61,1007.5,2013,4,8,2.31
2.31,9.12,80.37,26.05,30.9,-0.6360782203,99.49,-0.7716245834,29.3,2.85,2.44,1008.2,2013,4,9,2.02
2.02,15.75,87.92,25.68,27.64,-0.875464527,99.53,-0.4832823833,28.1,2.31,9.12,1008.9,2013,4,10,3.39
3.39,4.83,83.34,25.53,29.03,-0.9499720515,99.49,-0.3123349185,28.6,2.02,15.75,1008.2,2013,4,11,2.43
2.43,5.4,78.06,25.78,30.91,-0.8925858185,99.48,0.4508775407,29.1,3.39,4.83,1007.1,2013,4,12,1.72
1.72,31.44,87.18,25.09,28.04,-0.9957246982,99.63,-0.09237058745,29.4,2.43,5.4,1009.8,2013,4,13,3.12
3.12,7.26,73.63,24.74,30.34,-0.8720692724,99.65,-0.4893824517,28.8,1.72,31.44,1009.7,2013,4,14,2.14
2.14,20.54,87.07,25.72,28.83,-0.956304756,99.56,-0.2923717047,28.7,3.12,7.26,1009.4,2013,4,15,3.65
3.65,10.18,86.4,26.46,28.83,-0.9874138068,99.45,-0.1581580673,28.1,2.14,20.54,1008.0,2013,4,16,4.05
4.05,1.16,83.29,26.06,29.95,-0.9372819895,99.35,-0.3485720473,29.4,3.65,10.18,1007.0,2013,4,17,3.9
3.9,0.59,82.65,26.0,30.1,-0.9191353393,99.39,-0.3939419096,29.6,4.05,1.16,1007.2,2013,4,18,3.76
3.76,0.21,81.29,25.86,30.48,-0.9690157314,99.37,-0.2469990127,30.5,3.9,0.59,1007.2,2013,4,19,3.24
3.24,0.39,83.82,25.36,29.8,-0.8796485729,99.41,-0.4756242091,30.3,3.76,0.21,1007.7,2013,4,20,3.49
3.49,0.29,80.28,25.06,30.3,-0.7880107536,99.42,-0.6156614753,29.5,3.24,0.39,1007.6,2013,4,21,2.93
2.93,5.74,80.38,25.15,30.28,-0.6073758397,99.49,-0.7944146205,29.4,3.49,0.29,1008.5,2013,4,22,3.16
3.16,4.38,80.08,25.66,30.27,-0.8329212407,99.62,-0.5533915492,29.4,2.93,5.74,1009.9,2013,4,23,2.25
2.25,8.3,81.77,26.01,30.05,-0.994150964,99.66,-0.1079993557,29.2,3.16,4.38,1010.0,2013,4,24,2.07
2.07,14.76,82.66,26.43,29.91,-0.9999984769,99.63,-0.001745328366,29.6,2.25,8.3,1009.7,2013,4,25,2.05
2.05,6.91,86.26,25.91,28.66,-0.6347305132,99.6,-0.7727335735,29.4,2.07,14.76,1010.0,2013,4,26,2.53
2.53,9.01,83.21,25.43,29.68,-0.5764323162,99.58,-0.8171448983,29.4,2.05,6.91,1009.4,2013,4,27,2.11
2.11,6.59,85.77,25.98,29.37,-0.8526401644,99.5,-0.5224985647,29.4,2.53,9.01,1008.2,2013,4,28,3.41
3.41,4.68,87.69,26.58,28.88,-0.9284858269,99.43,-0.3713678356,30.4,2.11,6.59,1007.6,2013,4,29,4.1
4.1,5.86,86.95,25.93,29.41,-0.4617486132,99.43,-0.8870108332,29.9,3.41,4.68,1007.4,2013,4,30,3.13
3.13,15.76,83.91,25.3,29.28,-0.6934018283,99.41,-0.7205511117,29.2,4.1,5.86,1007.2,2013,5,1,3.62
3.62,16.35,87.07,25.88,28.58,-0.7760464071,99.35,-0.6306758074,28.6,3.13,15.76,1006.0,2013,5,2,4.32
4.32,20.5,89.93,25.66,28.1,-0.8813034521,99.28,-0.4725507649,27.5,3.62,16.35,1005.9,2013,5,3,4.84
4.84,13.52,88.21,25.73,28.37,-0.9636304532,99.26,-0.2672383761,28.1,4.32,20.5,1005.6,2013,5,4,3.58
3.58,11.17,86.42,25.91,29.3,-0.875464527,99.3,-0.4832823833,28.0,4.84,13.52,1006.7,2013,5,5,3.76
3.76,26.24,89.72,26.13,28.55,-0.9997806835,99.27,-0.02094241988,27.5,3.58,11.17,1007.3,2013,5,6,4.44
4.44,8.09,90.98,25.95,28.34,-0.8933713883,99.38,-0.4493189986,27.9,3.76,26.24,1007.4,2013,5,7,4.19
4.19,5.45,89.18,25.77,28.42,-0.9991228301,99.43,-0.04187565373,28.9,4.44,8.09,1008.1,2013,5,8,5.04
5.04,4.97,88.77,26.55,29.02,-0.9271838546,99.48,-0.3746065934,30.1,4.19,5.45,1007.9,2013,5,9,4.96
4.96,4.36,87.02,26.91,30.01,-0.9933727656,99.45,-0.1149371505,30.7,5.04,4.97,1007.7,2013,5,10,4.32
4.32,3.23,88.45,26.88,29.28,-0.9819587127,99.3,-0.189095443,30.4,4.96,4.36,1006.2,2013,5,11,5.03
5.03,6.68,81.77,26.12,29.69,-0.9617413095,99.31,-0.2739592187,30.4,4.32,3.23,1006.5,2013,5,12,5.56
5.56,23.47,90.33,25.63,27.17,-0.9578224948,99.33,-0.2873605198,26.4,5.03,6.68,1006.5,2013,5,13,7.38
7.38,25.31,88.52,25.59,27.73,-0.9723699204,99.27,-0.2334453639,28.7,5.56,23.47,1005.7,2013,5,14,6.73
6.73,0.62,86.66,25.79,28.35,-0.9449489122,99.28,-0.327217899,30.0,7.38,25.31,1006.4,2013,5,15,5.92
5.92,0.78,86.46,25.76,29.11,-0.9762960071,99.35,-0.2164396139,30.1,6.73,0.62,1007.2,2013,5,16,4.91
4.91,2.02,88.91,25.74,28.98,-0.9040825497,99.41,-0.4273578634,29.9,5.92,0.78,1007.8,2013,5,17,4.25
4.25,2.16,87.42,26.02,28.76,-0.8589598969,99.45,-0.5120428649,30.2,4.91,2.02,1007.8,2013,5,18,4.61
4.61,12.89,90.79,26.27,27.98,-0.6639262127,99.42,-0.7477980905,30.2,4.25,2.16,1007.4,2013,5,19,4.75
4.75,19.97,89.51,25.81,27.97,-0.6142852001,99.51,-0.7890840848,26.2,4.61,12.89,1008.5,2013,5,20,6.2
6.2,5.35,85.72,25.48,28.18,-0.7815204724,99.59,-0.6238795967,27.8,4.75,19.97,1009.5,2013,5,21,5.58
5.58,3.34,87.99,25.76,27.85,-0.7384553406,99.58,-0.6743023876,28.4,6.2,5.35,1009.5,2013,5,22,6.41
6.41,2.23,87.35,26.27,28.39,-0.8386705679,99.57,-0.544639035,29.3,5.58,3.34,1009.5,2013,5,23,6.86
6.86,2.86,87.25,26.06,28.81,-0.8290375726,99.54,-0.5591929035,29.3,6.41,2.23,1009.4,2013,5,24,7.12
7.12,1.82,88.49,26.21,28.06,-0.9114032766,99.58,-0.4115143586,29.4,6.86,2.86,1009.8,2013,5,25,7.09
7.09,0.72,88.03,25.96,27.95,-0.905568799,99.53,-0.4241994227,29.4,7.12,1.82,1009.2,2013,5,26,6.16
6.16,0.88,86.91,25.98,28.3,-0.8933713883,99.56,-0.4493189986,28.8,7.09,0.72,1009.4,2013,5,27,6.38
6.38,1.87,86.88,25.62,28.07,-0.9291325715,99.58,-0.3697467573,28.9,6.16,0.88,1009.5,2013,5,28,6.54
6.54,3.18,87.13,25.9,28.6,-0.8987940463,99.52,-0.4383711468,28.2,6.38,1.87,1008.1,2013,5,29,6.42
6.42,11.02,89.78,26.11,28.2,-0.7277727577,99.42,-0.6858183529,28.7,6.54,3.18,1007.4,2013,5,30,6.89
6.89,24.03,89.31,25.47,27.34,-0.7466381823,99.48,-0.6652303547,26.7,6.42,11.02,1007.9,2013,5,31,7.18
7.18,18.86,87.22,25.18,27.7,-0.8771461637,99.46,-0.4802234974,27.4,6.89,24.03,1007.8,2013,6,1,6.61
6.61,18.15,85.74,25.43,27.71,-0.9851093262,99.39,-0.1719291003,27.1,7.18,18.86,1007.4,2013,6,2,7.34
7.34,10.68,86.32,25.54,28.0,-0.9943379441,99.33,-0.1062640713,27.6,6.61,18.15,1006.9,2013,6,3,7.02
7.02,7.57,88.75,25.54,27.7,-0.9499720515,99.36,-0.3123349185,28.9,7.34,10.68,1007.1,2013,6,4,6.42
6.42,7.58,91.85,25.64,27.36,-0.8829475929,99.4,-0.4694715628,28.9,7.02,7.57,1007.6,2013,6,5,5.93
5.93,4.74,90.79,25.61,27.63,-0.7880107536,99.38,-0.6156614753,28.8,6.42,7.58,1007.2,2013,6,6,6.32
6.32,11.58,90.03,25.32,27.68,-0.8712138111,99.4,-0.4909037536,28.9,5.93,4.74,1007.5,2013,6,7,6.33
6.33,16.55,90.04,24.63,26.32,-0.9278362539,99.52,-0.3729877826,25.8,6.32,11.58,1010.0,2013,6,8,8.16
8.16,7.03,88.12,24.63,27.79,-0.9711342799,99.48,-0.2385334576,26.9,6.33,16.55,1008.8,2013,6,9,5.78
5.78,4.58,89.4,24.77,27.65,-0.9795752496,99.43,-0.2010779211,28.1,8.16,7.03,1008.4,2013,6,10,5.67
5.67,12.53,89.21,25.21,27.97,-0.9739759673,99.38,-0.2266513074,28.9,5.78,4.58,1007.7,2013,6,11,6.87
6.87,15.18,87.12,24.56,27.08,-0.9991943951,99.36,-0.04013179253,26.9,5.67,12.53,1006.7,2013,6,12,7.1
7.1,11.42,88.48,24.55,27.3,-0.9895257891,99.25,-0.144356201,27.1,6.87,15.18,1005.8,2013,6,13,6.93
6.93,7.02,91.74,25.1,27.62,-0.9777832368,99.23,-0.2096185629,28.5,7.1,11.42,1005.8,2013,6,14,6.97
6.97,7.88,90.19,25.27,27.62,-0.9211854056,99.3,-0.3891239501,28.6,6.93,7.02,1007.1,2013,6,15,7.18
7.18,11.16,90.18,24.92,27.36,-0.9557930148,99.4,-0.2940403252,28.2,6.97,7.88,1007.5,2013,6,16,6.38
6.38,15.87,91.27,24.74,26.23,-0.9832549076,99.49,-0.1822355255,26.3,7.18,11.16,1008.2,2013,6,17,5.48
5.48,11.68,90.62,24.59,27.17,-0.9802711746,99.38,-0.1976573404,27.1,6.38,15.87,1007.3,2013,6,18,5.85
5.85,9.21,89.99,24.94,27.25,-0.9762960071,99.43,-0.2164396139,28.1,5.48,11.68,1008.5,2013,6,19,6.29
6.29,5.26,88.32,24.73,27.46,-0.9822872507,99.51,-0.1873813146,28.1,5.85,9.21,1008.8,2013,6,20,6.4
6.4,9.16,90.38,25.02,27.42,-0.9537169507,99.5,-0.3007057995,28.4,6.29,5.26,1008.9,2013,6,21,6.6
6.6,9.37,89.78,24.55,26.77,-0.9991943951,99.53,-0.04013179253,28.6,6.4,9.16,1008.7,2013,6,22,6.52
6.52,8.29,90.2,24.8,26.98,-0.9912155403,99.43,-0.1322563903,27.9,6.6,9.37,1007.9,2013,6,23,6.94
6.94,11.47,89.88,25.23,27.45,-0.940288127,99.47,-0.3403795502,28.6,6.52,8.29,1008.6,2013,6,24,6.65
6.65,11.99,88.82,25.07,27.56,-0.8526401644,99.64,-0.5224985647,27.2,6.94,11.47,1010.4,2013,6,25,5.95
5.95,11.1,90.45,24.62,27.33,-0.9010770213,99.69,-0.4336590846,26.4,6.65,11.99,1010.9,2013,6,26,4.29
4.29,3.51,90.64,24.44,27.35,-0.8120835269,99.65,-0.5835412114,27.9,5.95,11.1,1009.9,2013,6,27,3.98
3.98,6.44,91.05,24.62,26.68,-0.7727335735,99.62,-0.6347305132,27.4,4.29,3.51,1009.9,2013,6,28,4.74
4.74,5.7,88.46,24.12,27.62,-0.8870108332,99.63,-0.4617486132,27.2,3.98,6.44,1010.4,2013,6,29,4.18
4.18,7.07,89.92,24.91,26.52,-0.9070440143,99.68,-0.4210358134,27.4,4.74,5.7,1010.2,2013,6,30,5.77
5.77,5.37,88.43,24.75,26.82,-0.9871362651,99.54,-0.1598811877,27.4,4.18,7.07,1008.8,2013,7,1,5.77
5.77,6.99,89.89,24.44,26.93,-0.9329535348,99.44,-0.3599968081,28.4,5.77,5.37,1008.1,2013,7,2,6.35
6.35,4.29,88.72,24.84,27.29,-0.8571673007,99.5,-0.5150380749,27.5,5.77,6.99,1008.1,2013,7,3,6.45
6.45,3.1,88.71,24.55,27.56,-0.9602936857,99.41,-0.278991106,28.8,6.35,4.29,1007.1,2013,7,4,5.32
5.32,4.68,89.31,24.64,27.26,-0.9739759673,99.34,-0.2266513074,28.8,6.45,3.1,1006.3,2013,7,5,5.78
5.78,3.49,88.02,24.63,27.21,-0.9884938868,99.4,-0.1512608202,28.9,5.32,4.68,1007.1,2013,7,6,5.57
5.57,5.23,88.38,24.66,27.07,-0.9939609555,99.5,-0.1097343111,28.1,5.78,3.49,1008.1,2013,7,7,6.46
6.46,5.09,89.86,24.62,26.65,-0.9916711624,99.49,-0.1287955966,28.3,5.57,5.23,1008.3,2013,7,8,6.11
6.11,7.69,90.48,24.36,26.33,-0.9826127965,99.44,-0.1856666154,27.8,6.46,5.09,1007.7,2013,7,9,6.09
6.09,7.74,90.43,24.23,26.33,-0.9964928592,99.42,-0.08367784333,27.8,6.11,7.69,1007.2,2013,7,10,5.45
5.45,2.98,89.58,23.98,26.59,-0.9998476952,99.48,-0.01745240644,28.0,6.09,7.74,1008.0,2013,7,11,4.78
4.78,0.65,89.26,24.01,27.05,-0.9907478405,99.51,-0.1357155724,28.2,5.45,2.98,1008.6,2013,7,12,4.69
4.69,0.85,89.33,24.22,26.95,-0.9890158634,99.52,-0.1478094111,28.3,4.78,0.65,1008.8,2013,7,13,4.71
4.71,0.82,88.81,24.46,27.3,-0.959805292,99.46,-0.2806667089,28.5,4.69,0.85,1008.0,2013,7,14,4.98
4.98,3.58,89.33,24.93,27.53,-0.9225380895,99.45,-0.3859060423,28.4,4.71,0.82,1008.1,2013,7,15,6.07
6.07,4.67,88.14,24.78,27.04,-0.9310558159,99.54,-0.3648767843,28.9,4.98,3.58,1009.2,2013,7,16,6.33
6.33,5.93,90.66,24.46,26.98,-0.8181497174,99.55,-0.575005252,27.9,6.07,4.67,1008.9,2013,7,17,5.29
5.29,11.48,90.82,24.62,26.76,-0.905568799,99.5,-0.4241994227,26.4,6.33,5.93,1008.3,2013,7,18,5.35
5.35,2.73,88.67,24.45,27.23,-0.9384930228,99.46,-0.345298199,27.4,5.29,11.48,1008.0,2013,7,19,5.5
5.5,2.16,90.41,24.75,27.07,-0.9310558159,99.51,-0.3648767843,27.6,5.35,2.73,1008.8,2013,7,20,4.85
4.85,4.0,88.71,24.36,27.33,-0.9970527522,99.42,-0.07671902813,27.9,5.5,2.16,1007.7,2013,7,21,5.36
5.36,13.55,89.24,24.56,26.57,-0.9857034691,99.39,-0.1684893796,26.7,4.85,4.0,1007.4,2013,7,22,6.09
6.09,9.47,89.48,24.44,26.65,-0.9252097184,99.48,-0.3794561595,25.5,5.36,13.55,1009.0,2013,7,23,5.18
5.18,12.31,89.82,24.43,26.97,-0.796529918,99.58,-0.6045991149,26.1,6.09,9.47,1009.5,2013,7,24,5.11
5.11,15.26,89.41,24.36,26.77,-0.8633955506,99.63,-0.5045276238,27.0,5.18,12.31,1009.4,2013,7,25,5.03
5.03,13.39,88.84,24.24,27.38,-0.8069603121,99.53,-0.5906056676,26.2,5.11,15.26,1008.8,2013,7,26,4.34
