WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,WD_cos,AVG_TEMP,WS10M_lag2,SURF_PRESSSURE,MAX_TEMP,RH_lag1,WD_sin_lag1,WD_sin_lag2,SL_PRESSURE,PREC_lag1,YEAR,MO,DY,WS10M
4.85,83.02,22.43,8.2,0.3239174182,0.9460853588,27.9,5.67,99.79,29.14,81.8,0.5284383347,0.4909037536,1012.2,0.02,2013,2,4,3.17
3.17,82.55,24.3,2.14,0.9986295348,0.05233595624,27.8,4.85,99.85,28.86,83.02,0.3239174182,0.5284383347,1012.5,8.2,2013,2,5,1.3
1.3,83.19,24.07,21.04,0.5,0.8660254038,28.0,3.17,99.86,28.32,82.55,0.9986295348,0.3239174182,1012.6,2.14,2013,2,6,2.61
2.61,81.62,23.23,7.95,0.3583679495,0.9335804265,26.9,1.3,99.7,29.2,83.19,0.5,0.9986295348,1010.5,21.04,2013,2,7,3.0
3.0,78.24,23.76,6.06,0.9335804265,0.3583679495,27.1,2.61,99.64,29.46,81.62,0.3583679495,0.5,1009.9,7.95,2013,2,8,1.48
1.48,80.63,22.99,12.84,0.5692795234,0.822144041,28.1,3.0,99.58,29.5,78.24,0.9335804265,0.3583679495,1009.3,6.06,2013,2,9,2.48
2.48,82.48,22.91,1.4,0.6387678175,0.769399555,28.4,1.48,99.53,29.68,80.63,0.5692795234,0.9335804265,1008.4,12.84,2013,2,10,4.58
4.58,85.65,23.02,6.62,0.6959127966,0.7181262978,28.4,2.48,99.5,28.43,82.48,0.6387678175,0.5692795234,1008.1,1.4,2013,2,11,4.94
4.94,87.4,22.87,11.68,0.6717205893,0.7408045963,26.6,4.58,99.47,26.91,85.65,0.6959127966,0.6387678175,1007.9,6.62,2013,2,12,5.34
5.34,85.16,23.7,33.19,0.9135454576,0.4067366431,27.7,4.94,99.47,28.21,87.4,0.6717205893,0.6959127966,1008.5,11.68,2013,2,13,4.22
4.22,79.74,23.0,12.17,0.8517269341,-0.523985906,26.4,5.34,99.65,28.57,85.16,0.9135454576,0.6717205893,1009.9,33.19,2013,2,14,3.47
3.47,80.59,22.93,0.54,0.8386705679,0.544639035,28.1,4.22,99.67,28.82,79.74,0.8517269341,0.9135454576,1010.0,12.17,2013,2,15,2.52
2.52,82.59,23.7,1.71,-0.984195608,-0.1770847403,27.4,3.47,99.54,28.55,80.59,0.8386705679,0.8517269341,1009.3,0.54,2013,2,16,1.9
1.9,80.49,24.47,1.6,-0.9931706495,-0.1166707371,27.4,2.52,99.51,29.43,82.59,-0.984195608,0.8386705679,1008.8,1.71,2013,2,17,1.6
1.6,83.02,24.29,6.37,-0.9998476952,0.01745240644,27.8,1.9,99.51,28.48,80.49,-0.9931706495,-0.984195608,1009.2,1.6,2013,2,18,2.17
2.17,81.46,24.62,18.53,0.1097343111,0.9939609555,27.9,1.6,99.59,29.46,83.02,-0.9998476952,-0.9931706495,1009.9,6.37,2013,2,19,2.26
2.26,81.29,23.1,0.84,0.6626200482,0.7489557208,27.1,2.17,99.63,29.51,81.46,0.1097343111,-0.9998476952,1009.8,18.53,2013,2,20,3.64
3.64,80.52,21.65,0.0,0.5620833779,0.8270805743,28.2,2.26,99.69,29.47,81.29,0.6626200482,0.1097343111,1010.8,0.84,2013,2,21,4.78
4.78,81.46,21.89,0.0,0.6306758074,0.7760464071,27.9,3.64,99.78,29.22,80.52,0.5620833779,0.6626200482,1010.8,0.0,2013,2,22,5.44
5.44,77.82,20.53,0.0,0.6832737737,0.7301622766,28.1,4.78,99.88,29.29,81.46,0.6306758074,0.5620833779,1012.2,0.0,2013,2,23,4.28
4.28,78.59,21.65,0.0,0.6225146366,0.7826081569,27.5,5.44,99.81,29.18,77.82,0.6832737737,0.6306758074,1011.6,0.0,2013,2,24,3.41
3.41,78.43,21.92,0.09,0.6665324702,0.7454759997,27.2,4.28,99.82,29.64,78.59,0.6225146366,0.6832737737,1011.7,0.0,2013,2,25,3.39
3.39,78.17,21.89,0.0,0.5504807401,0.8348478633,27.3,3.41,99.84,28.84,78.43,0.6665324702,0.6225146366,1011.8,0.09,2013,2,26,3.1
3.1,78.44,21.21,0.0,0.5372996083,0.8433914458,26.7,3.39,99.76,29.31,78.17,0.5504807401,0.6665324702,1010.7,0.0,2013,2,27,4.07
4.07,80.07,21.85,0.02,0.5792811723,0.8151277957,26.6,3.1,99.64,29.78,78.44,0.5372996083,0.5504807401,1009.4,0.0,2013,2,28,4.33
4.33,79.02,21.94,0.19,0.5135412521,0.8580649057,28.0,4.07,99.61,29.89,80.07,0.5792811723,0.5372996083,1009.4,0.02,2013,3,1,3.98
3.98,80.78,22.2,7.97,0.5807029557,0.8141155184,27.8,4.33,99.66,30.29,79.02,0.5135412521,0.5792811723,1010.1,0.19,2013,3,2,3.87
3.87,80.17,22.56,1.38,0.5990235985,0.8007313709,28.9,3.98,99.65,30.01,80.78,0.5807029557,0.5135412521,1009.8,7.97,2013,3,3,4.73
4.73,87.01,23.5,12.08,0.6115270402,0.791223533,27.4,3.87,99.65,27.38,80.17,0.5990235985,0.5807029557,1009.6,1.38,2013,3,4,4.19
4.19,81.06,23.36,5.63,0.9205048535,0.3907311285,28.2,4.73,99.57,30.39,87.01,0.6115270402,0.5990235985,1009.4,12.08,2013,3,5,2.67
2.67,80.87,24.09,5.08,0.9802711746,0.1976573404,28.8,4.19,99.6,31.22,81.06,0.9205048535,0.6115270402,1010.2,5.63,2013,3,6,2.25
2.25,83.61,24.9,4.31,0.6921431739,0.7217602281,28.6,2.67,99.67,29.44,80.87,0.9802711746,0.9205048535,1010.8,5.08,2013,3,7,2.87
2.87,85.94,24.76,7.56,0.4524347093,0.8917975296,28.4,2.25,99.73,29.64,83.61,0.6921431739,0.9802711746,1011.7,4.31,2013,3,8,2.68
2.68,81.51,24.52,5.53,0.54317445,0.8396198645,28.1,2.87,99.75,29.68,85.94,0.4524347093,0.6921431739,1011.3,7.56,2013,3,9,2.34
2.34,76.96,24.31,0.27,0.5707135677,0.8211492091,27.8,2.68,99.59,31.15,81.51,0.54317445,0.4524347093,1009.6,5.53,2013,3,10,1.88
1.88,78.9,24.54,8.43,-0.9384930228,0.345298199,29.1,2.34,99.68,30.33,76.96,0.5707135677,0.54317445,1010.5,0.27,2013,3,11,1.36
1.36,80.66,25.51,7.29,-0.8972583697,0.4415058528,28.9,1.88,99.75,29.24,78.9,-0.9384930228,0.5707135677,1010.8,8.43,2013,3,12,1.58
1.58,76.51,24.34,2.16,-0.9766722783,0.2147353272,28.6,1.36,99.76,30.06,80.66,-0.8972583697,-0.9384930228,1010.7,7.29,2013,3,13,1.55
1.55,81.13,25.35,7.24,-0.9360595357,0.3518416484,28.9,1.58,99.7,29.25,76.51,-0.9766722783,-0.8972583697,1010.7,2.16,2013,3,14,2.4
2.4,85.45,24.57,13.3,-0.4954586684,-0.8686315144,28.5,1.55,99.72,29.14,81.13,-0.9360595357,-0.9766722783,1011.2,7.24,2013,3,15,2.22
2.22,82.9,24.73,11.05,0.7372773368,0.6755902076,27.9,2.4,99.81,29.06,85.45,-0.4954586684,-0.9360595357,1011.5,13.3,2013,3,16,2.03
2.03,76.04,24.48,2.23,0.6347305132,0.7727335735,28.8,2.22,99.75,30.66,82.9,0.7372773368,-0.4954586684,1010.7,11.05,2013,3,17,1.92
1.92,77.05,25.11,5.49,0.09237058745,0.9957246982,28.4,2.03,99.58,30.48,76.04,0.6347305132,0.7372773368,1008.8,2.23,2013,3,18,2.0
2.0,79.2,24.92,3.51,-0.2520693582,-0.9677091705,28.6,1.92,99.59,29.84,77.05,0.09237058745,0.6347305132,1009.0,5.49,2013,3,19,1.33
1.33,78.96,24.89,0.8,0.5269557955,0.849892693,28.1,2.0,99.61,30.92,79.2,-0.2520693582,0.09237058745,1009.2,3.51,2013,3,20,2.26
2.26,77.49,24.64,0.3,0.9681476404,0.2503800041,29.6,1.33,99.55,30.55,78.96,0.5269557955,-0.2520693582,1008.6,0.8,2013,3,21,1.51
1.51,71.2,25.44,0.48,0.3551069624,0.9348256764,28.5,2.26,99.44,31.2,77.49,0.9681476404,0.5269557955,1007.5,0.3,2013,3,22,1.27
1.27,81.07,24.83,5.47,-0.7705132428,-0.6374239897,27.8,1.51,99.51,29.41,71.2,0.3551069624,0.9681476404,1008.7,0.48,2013,3,23,2.41
2.41,81.95,25.52,18.34,-0.1753667261,0.98450318,27.9,1.27,99.54,29.58,81.07,-0.7705132428,0.3551069624,1009.4,5.47,2013,3,24,2.38
2.38,78.66,25.24,13.61,0.2940403252,0.9557930148,27.6,2.41,99.55,28.89,81.95,-0.1753667261,-0.7705132428,1008.8,18.34,2013,3,25,1.45
1.45,79.55,25.06,7.66,-0.8048937974,-0.5934188866,27.8,2.38,99.5,29.48,78.66,0.2940403252,-0.1753667261,1008.7,13.61,2013,3,26,1.33
1.33,80.95,25.87,2.54,-0.8544588301,-0.5195191119,28.8,1.45,99.5,30.06,79.55,-0.8048937974,0.2940403252,1008.7,7.66,2013,3,27,1.74
1.74,85.57,25.87,9.7,-0.8069603121,-0.5906056676,28.9,1.33,99.57,29.13,80.95,-0.8544588301,-0.8048937974,1009.1,2.54,2013,3,28,2.48
2.48,88.45,25.79,10.99,-0.9588197349,-0.2840153447,29.1,1.74,99.56,28.21,85.57,-0.8069603121,-0.8544588301,1009.1,9.7,2013,3,29,2.92
2.92,83.82,25.64,3.96,-0.8480480962,-0.5299192642,29.1,2.48,99.46,29.87,88.45,-0.9588197349,-0.8069603121,1008.2,10.99,2013,3,30,2.19
2.19,84.73,26.0,1.65,-0.906307787,-0.4226182617,29.4,2.92,99.48,29.72,83.82,-0.8480480962,-0.9588197349,1008.6,3.96,2013,3,31,2.42
2.42,85.27,25.67,2.37,-0.7944146205,-0.6073758397,28.1,2.19,99.55,29.44,84.73,-0.906307787,-0.8480480962,1009.4,1.65,2013,4,1,2.91
2.91,80.75,25.83,2.09,-0.9979156183,-0.06453230825,29.3,2.42,99.58,29.94,85.27,-0.7944146205,-0.906307787,1009.4,2.37,2013,4,2,2.09
2.09,78.16,25.5,2.56,-0.9970527522,-0.07671902813,29.5,2.91,99.58,30.58,80.75,-0.9979156183,-0.7944146205,1009.0,2.09,2013,4,3,1.69
1.69,84.03,25.82,4.32,-0.9832549076,-0.1822355255,29.2,2.09,99.55,29.4,78.16,-0.9970527522,-0.9979156183,1008.5,2.56,2013,4,4,3.56
3.56,85.51,25.58,5.42,-0.7431448255,-0.6691306064,29.4,1.69,99.49,28.6,84.03,-0.9832549076,-0.9970527522,1008.1,4.32,2013,4,5,3.72
3.72,81.68,25.61,2.43,-0.9170600744,-0.3987490689,29.8,3.56,99.4,29.91,85.51,-0.7431448255,-0.9832549076,1007.4,5.42,2013,4,6,3.8
3.8,80.53,25.64,2.61,-0.9003187714,-0.4352310994,29.6,3.72,99.33,30.27,81.68,-0.9170600744,-0.7431448255,1007.2,2.43,2013,4,7,2.85
2.85,80.14,25.79,2.44,-0.8338858221,-0.5519369853,30.2,3.8,99.4,30.7,80.53,-0.9003187714,-0.9170600744,1007.5,2.61,2013,4,8,2.31
2.31,80.37,26.05,9.12,-0.6360782203,-0.7716245834,29.3,2.85,99.49,30.9,80.14,-0.8338858221,-0.9003187714,1008.2,2.44,2013,4,9,2.02
2.02,87.92,25.68,15.75,-0.875464527,-0.4832823833,28.1,2.31,99.53,27.64,80.37,-0.6360782203,-0.8338858221,1008.9,9.12,2013,4,10,3.39
3.39,83.34,25.53,4.83,-0.9499720515,-0.3123349185,28.6,2.02,99.49,29.03,87.92,-0.875464527,-0.6360782203,1008.2,15.75,2013,4,11,2.43
2.43,78.06,25.78,5.4,-0.8925858185,0.4508775407,29.1,3.39,99.48,30.91,83.34,-0.9499720515,-0.875464527,1007.1,4.83,2013,4,12,1.72
1.72,87.18,25.09,31.44,-0.9957246982,-0.09237058745,29.4,2.43,99.63,28.04,78.06,-0.8925858185,-0.9499720515,1009.8,5.4,2013,4,13,3.12
3.12,73.63,24.74,7.26,-0.8720692724,-0.4893824517,28.8,1.72,99.65,30.34,87.18,-0.9957246982,-0.8925858185,1009.7,31.44,2013,4,14,2.14
2.14,87.07,25.72,20.54,-0.956304756,-0.2923717047,28.7,3.12,99.56,28.83,73.63,-0.8720692724,-0.9957246982,1009.4,7.26,2013,4,15,3.65
3.65,86.4,26.46,10.18,-0.9874138068,-0.1581580673,28.1,2.14,99.45,28.83,87.07,-0.956304756,-0.8720692724,1008.0,20.54,2013,4,16,4.05
4.05,83.29,26.06,1.16,-0.9372819895,-0.3485720473,29.4,3.65,99.35,29.95,86.4,-0.9874138068,-0.956304756,1007.0,10.18,2013,4,17,3.9
3.9,82.65,26.0,0.59,-0.9191353393,-0.3939419096,29.6,4.05,99.39,30.1,83.29,-0.9372819895,-0.9874138068,1007.2,1.16,2013,4,18,3.76
3.76,81.29,25.86,0.21,-0.9690157314,-0.2469990127,30.5,3.9,99.37,30.48,82.65,-0.9191353393,-0.9372819895,1007.2,0.59,2013,4,19,3.24
3.24,83.82,25.36,0.39,-0.8796485729,-0.4756242091,30.3,3.76,99.41,29.8,81.29,-0.9690157314,-0.9191353393,1007.7,0.21,2013,4,20,3.49
3.49,80.28,25.06,0.29,-0.7880107536,-0.6156614753,29.5,3.24,99.42,30.3,83.82,-0.8796485729,-0.9690157314,1007.6,0.39,2013,4,21,2.93
2.93,80.38,25.15,5.74,-0.6073758397,-0.7944146205,29.4,3.49,99.49,30.28,80.28,-0.7880107536,-0.8796485729,1008.5,0.29,2013,4,22,3.16
3.16,80.08,25.66,4.38,-0.8329212407,-0.5533915492,29.4,2.93,99.62,30.27,80.38,-0.6073758397,-0.7880107536,1009.9,5.74,2013,4,23,2.25
2.25,81.77,26.01,8.3,-0.994150964,-0.1079993557,29.2,3.16,99.66,30.05,80.08,-0.8329212407,-0.6073758397,1010.0,4.38,2013,4,24,2.07
2.07,82.66,26.43,14.76,-0.9999984769,-0.001745328366,29.6,2.25,99.63,29.91,81.77,-0.994150964,-0.8329212407,1009.7,8.3,2013,4,25,2.05
2.05,86.26,25.91,6.91,-0.6347305132,-0.7727335735,29.4,2.07,99.6,28.66,82.66,-0.9999984769,-0.994150964,1010.0,14.76,2013,4,26,2.53
2.53,83.21,25.43,9.01,-0.5764323162,-0.8171448983,29.4,2.05,99.58,29.68,86.26,-0.6347305132,-0.9999984769,1009.4,6.91,2013,4,27,2.11
2.11,85.77,25.98,6.59,-0.8526401644,-0.5224985647,29.4,2.53,99.5,29.37,83.21,-0.5764323162,-0.6347305132,1008.2,9.01,2013,4,28,3.41
3.41,87.69,26.58,4.68,-0.9284858269,-0.3713678356,30.4,2.11,99.43,28.88,85.77,-0.8526401644,-0.5764323162,1007.6,6.59,2013,4,29,4.1
4.1,86.95,25.93,5.86,-0.4617486132,-0.8870108332,29.9,3.41,99.43,29.41,87.69,-0.9284858269,-0.8526401644,1007.4,4.68,2013,4,30,3.13
3.13,83.91,25.3,15.76,-0.6934018283,-0.7205511117,29.2,4.1,99.41,29.28,86.95,-0.4617486132,-0.9284858269,1007.2,5.86,2013,5,1,3.62
3.62,87.07,25.88,16.35,-0.7760464071,-0.6306758074,28.6,3.13,99.35,28.58,83.91,-0.6934018283,-0.4617486132,1006.0,15.76,2013,5,2,4.32
4.32,89.93,25.66,20.5,-0.8813034521,-0.4725507649,27.5,3.62,99.28,28.1,87.07,-0.7760464071,-0.6934018283,1005.9,16.35,2013,5,3,4.84
4.84,88.21,25.73,13.52,-0.9636304532,-0.2672383761,28.1,4.32,99.26,28.37,89.93,-0.8813034521,-0.7760464071,1005.6,20.5,2013,5,4,3.58
3.58,86.42,25.91,11.17,-0.875464527,-0.4832823833,28.0,4.84,99.3,29.3,88.21,-0.9636304532,-0.8813034521,1006.7,13.52,2013,5,5,3.76
3.76,89.72,26.13,26.24,-0.9997806835,-0.02094241988,27.5,3.58,99.27,28.55,86.42,-0.875464527,-0.9636304532,1007.3,11.17,2013,5,6,4.44
4.44,90.98,25.95,8.09,-0.8933713883,-0.4493189986,27.9,3.76,99.38,28.34,89.72,-0.9997806835,-0.875464527,1007.4,26.24,2013,5,7,4.19
4.19,89.18,25.77,5.45,-0.9991228301,-0.04187565373,28.9,4.44,99.43,28.42,90.98,-0.8933713883,-0.9997806835,1008.1,8.09,2013,5,8,5.04
5.04,88.77,26.55,4.97,-0.9271838546,-0.3746065934,30.1,4.19,99.48,29.02,89.18,-0.9991228301,-0.8933713883,1007.9,5.45,2013,5,9,4.96
4.96,87.02,26.91,4.36,-0.9933727656,-0.1149371505,30.7,5.04,99.45,30.01,88.77,-0.9271838546,-0.9991228301,1007.7,4.97,2013,5,10,4.32
4.32,88.45,26.88,3.23,-0.9819587127,-0.189095443,30.4,4.96,99.3,29.28,87.02,-0.9933727656,-0.9271838546,1006.2,4.36,2013,5,11,5.03
5.03,81.77,26.12,6.68,-0.9617413095,-0.2739592187,30.4,4.32,99.31,29.69,88.45,-0.9819587127,-0.9933727656,1006.5,3.23,2013,5,12,5.56
5.56,90.33,25.63,23.47,-0.9578224948,-0.2873605198,26.4,5.03,99.33,27.17,81.77,-0.9617413095,-0.9819587127,1006.5,6.68,2013,5,13,7.38
7.38,88.52,25.59,25.31,-0.9723699204,-0.2334453639,28.7,5.56,99.27,27.73,90.33,-0.9578224948,-0.9617413095,1005.7,23.47,2013,5,14,6.73
6.73,86.66,25.79,0.62,-0.9449489122,-0.327217899,30.0,7.38,99.28,28.35,88.52,-0.9723699204,-0.9578224948,1006.4,25.31,2013,5,15,5.92
5.92,86.46,25.76,0.78,-0.9762960071,-0.2164396139,30.1,6.73,99.35,29.11,86.66,-0.9449489122,-0.9723699204,1007.2,0.62,2013,5,16,4.91
4.91,88.91,25.74,2.02,-0.9040825497,-0.4273578634,29.9,5.92,99.41,28.98,86.46,-0.9762960071,-0.9449489122,1007.8,0.78,2013,5,17,4.25
4.25,87.42,26.02,2.16,-0.8589598969,-0.5120428649,30.2,4.91,99.45,28.76,88.91,-0.9040825497,-0.9762960071,1007.8,2.02,2013,5,18,4.61
4.61,90.79,26.27,12.89,-0.6639262127,-0.7477980905,30.2,4.25,99.42,27.98,87.42,-0.8589598969,-0.9040825497,1007.4,2.16,2013,5,19,4.75
4.75,89.51,25.81,19.97,-0.6142852001,-0.7890840848,26.2,4.61,99.51,27.97,90.79,-0.6639262127,-0.8589598969,1008.5,12.89,2013,5,20,6.2
6.2,85.72,25.48,5.35,-0.7815204724,-0.6238795967,27.8,4.75,99.59,28.18,89.51,-0.6142852001,-0.6639262127,1009.5,19.97,2013,5,21,5.58
5.58,87.99,25.76,3.34,-0.7384553406,-0.6743023876,28.4,6.2,99.58,27.85,85.72,-0.7815204724,-0.6142852001,1009.5,5.35,2013,5,22,6.41
6.41,87.35,26.27,2.23,-0.8386705679,-0.544639035,29.3,5.58,99.57,28.39,87.99,-0.7384553406,-0.7815204724,1009.5,3.34,2013,5,23,6.86
6.86,87.25,26.06,2.86,-0.8290375726,-0.5591929035,29.3,6.41,99.54,28.81,87.35,-0.8386705679,-0.7384553406,1009.4,2.23,2013,5,24,7.12
7.12,88.49,26.21,1.82,-0.9114032766,-0.4115143586,29.4,6.86,99.58,28.06,87.25,-0.8290375726,-0.8386705679,1009.8,2.86,2013,5,25,7.09
7.09,88.03,25.96,0.72,-0.905568799,-0.4241994227,29.4,7.12,99.53,27.95,88.49,-0.9114032766,-0.8290375726,1009.2,1.82,2013,5,26,6.16
6.16,86.91,25.98,0.88,-0.8933713883,-0.4493189986,28.8,7.09,99.56,28.3,88.03,-0.905568799,-0.9114032766,1009.4,0.72,2013,5,27,6.38
6.38,86.88,25.62,1.87,-0.9291325715,-0.3697467573,28.9,6.16,99.58,28.07,86.91,-0.8933713883,-0.905568799,1009.5,0.88,2013,5,28,6.54
6.54,87.13,25.9,3.18,-0.8987940463,-0.4383711468,28.2,6.38,99.52,28.6,86.88,-0.9291325715,-0.8933713883,1008.1,1.87,2013,5,29,6.42
6.42,89.78,26.11,11.02,-0.7277727577,-0.6858183529,28.7,6.54,99.42,28.2,87.13,-0.8987940463,-0.9291325715,1007.4,3.18,2013,5,30,6.89
6.89,89.31,25.47,24.03,-0.7466381823,-0.6652303547,26.7,6.42,99.48,27.34,89.78,-0.7277727577,-0.8987940463,1007.9,11.02,2013,5,31,7.18
7.18,87.22,25.18,18.86,-0.8771461637,-0.4802234974,27.4,6.89,99.46,27.7,89.31,-0.7466381823,-0.7277727577,1007.8,24.03,2013,6,1,6.61
6.61,85.74,25.43,18.15,-0.9851093262,-0.1719291003,27.1,7.18,99.39,27.71,87.22,-0.8771461637,-0.7466381823,1007.4,18.86,2013,6,2,7.34
7.34,86.32,25.54,10.68,-0.9943379441,-0.1062640713,27.6,6.61,99.33,28.0,85.74,-0.9851093262,-0.8771461637,1006.9,18.15,2013,6,3,7.02
7.02,88.75,25.54,7.57,-0.9499720515,-0.3123349185,28.9,7.34,99.36,27.7,86.32,-0.9943379441,-0.9851093262,1007.1,10.68,2013,6,4,6.42
6.42,91.85,25.64,7.58,-0.8829475929,-0.4694715628,28.9,7.02,99.4,27.36,88.75,-0.9499720515,-0.9943379441,1007.6,7.57,2013,6,5,5.93
5.93,90.79,25.61,4.74,-0.7880107536,-0.6156614753,28.8,6.42,99.38,27.63,91.85,-0.8829475929,-0.9499720515,1007.2,7.58,2013,6,6,6.32
6.32,90.03,25.32,11.58,-0.8712138111,-0.4909037536,28.9,5.93,99.4,27.68,90.79,-0.7880107536,-0.8829475929,1007.5,4.74,2013,6,7,6.33
6.33,90.04,24.63,16.55,-0.9278362539,-0.3729877826,25.8,6.32,99.52,26.32,90.03,-0.8712138111,-0.7880107536,1010.0,11.58,2013,6,8,8.16
8.16,88.12,24.63,7.03,-0.9711342799,-0.2385334576,26.9,6.33,99.48,27.79,90.04,-0.9278362539,-0.8712138111,1008.8,16.55,2013,6,9,5.78
5.78,89.4,24.77,4.58,-0.9795752496,-0.2010779211,28.1,8.16,99.43,27.65,88.12,-0.9711342799,-0.9278362539,1008.4,7.03,2013,6,10,5.67
5.67,89.21,25.21,12.53,-0.9739759673,-0.2266513074,28.9,5.78,99.38,27.97,89.4,-0.9795752496,-0.9711342799,1007.7,4.58,2013,6,11,6.87
